InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2022 8:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2022 8:26,3.39,17850,United Kingdom
536366,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2022 8:28,2.75,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2022 8:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2022 8:34,2.1,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,12/1/2022 8:34,4.25,13047,united kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,12/1/2022 8:35,5.95,13047,United Kingdom
536370,POST,POSTAGE,-1,12/1/2022 8:45,18.00,,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,12/1/2022 9:00,2.55,13748,United Kingdom
536372,22632,HAND WARMER UNION JACK,6,12/1/2022 9:01,1.85,17850,United Kingdom
536372,22632,HAND WARMER UNION JACK,6,12/1/2022 9:01,1.85,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2022 9:02,2.55,17850,United Kingdom
536374,21733,RED TOADSTOOL LED NIGHT LIGHT,,12/1/2022 9:08,0.00,15100,United Kingdom
